part,qtyPerBox,client,machine,labelFormat
P7140-00018AA,650,Infasco,,
P7150-1549-03,815,Infasco,,
P7241150,180,Infasco,,
P7241250,1900,Infasco,,
P7241650,180,Infasco,,
P7241950,180,,,
P7320491,1900,Infasco,,
P742000047,700,Infasco,,
P742000064,700,Infasco,,
P82218,320,Infasco,,
P82222,175,Infasco,,
P82244,600,Infasco,,
P82246,250,Infasco,,
P82247,220,Infasco,,
P83106,4500,Infasco,,
P85158,600,Infasco,,
P90280051,4000,Infasco,,
P91058,1200,Infasco,,
P9132268,2400,Infasco,,
P92468,1000,Infasco,,
P94012039,2500,Infasco,,
P94012078,100,Infasco,,
P94012150,325,Infasco,,
P94728804,1100,Infasco,,
P98055704,4000,Infasco,,
PC8SZ-6A529A,1100,Infasco,,
PCKY1232,250,MAGNUM 2000,,
PCKY1233,150,MAGNUM 2000,,
PDIN6921,1800,Infasco,,
PE12540,3500,Infasco,,
PE6267AA,525,Infasco,,
PFE5097-CA,1400,Infasco,,
PFU7J3B477AA,150,Infasco,,
PG51017,800,Infasco,,
PH62324AA,1200,Infasco,,
PHN131FS439,2500,Turn-0-Martic,,
PJ-10220-68-00,450,Infasco,,
PJ-10221-68-00,1100,Infasco,,
PK1046AB,1600,Infasco,,
PL-3029722,20000,R&R Rivet,,
PL-9470567,3000,Premier,,
PLX6A-62428-BD-58502-RB,1100,Infasco,,
PM0401001,2500,Infasco,,
PM10125NILN,1000,Infasco,,
PM12175-ISO7043,575,Infasco,,
PM1811AA,200,Infasco,,
PM51020,1200,Infasco,,
PM93000340,1800,Infasco,,
PNU1136,12000,Infasco,,
PNU1205,74000,Infasco,,
PNU1237,20000,Infasco,,
PNU1305,65000,Infasco,,
PNU1348,44500,Infasco,,
PNU1510,35000,Infasco,,
PNU2255,2000,Infasco,,
PNU3014,10000,Infasco,,
PNU5108,65000,Infasco,,
PNU5210,35000,Infasco,,
PNU6100,400,Infasco,,
PNUT1923,800,Infasco,,
PP3001150,2100,Infasco,,
PP3326750,1200,Infasco,,
PP3948750,600,Infasco,,
PP40204490,300,Infasco,,
PP4355350,1900,Infasco,,
PP4382250,4000,Infasco,,
PP4511150,2100,Infasco,,
PPJ-10220-68-00,450,Infasco,,
PPJ-10221-68-00,1100,Infasco,,
PSZ310C1901,1500,Infasco,,
PW520511-S450,6400,Infasco,,
PW520773-S300,575,Infasco,,
PW715851-S450B,1900,Infasco,,
PW719080-S450B,1050,Infasco,,
PW720003-S437,1050,Infasco,,
PZ18-7P483-AA,195,INFASCO,,
R15-403879,15000,Ammex Plastics,,
R38076595120,1050,INFASCO,,
RMMX0158,300,MAGNUM 2000,,
RQ-5044,700,Premier,,
RS539X2.225,1000,R&R RIVET,,
RS924X3.237,1600,R&R RIVET,,
RV335X2.687,500,R&R Rivet,,
RV335X3.062,400,R&R rivet,,
RV675X1,25000,R&R Rivet,,
RV675X1000MGO…,2300,R&R Rivet,,
RV924X0.312/ZP/20263,8000,R&R Rivet,,
RV924X0.500/ZP/20563,6000,R&R Rivet,,
S0365X0.580,1600,R&R Rivet,,
S2116-07-RB,2000,INFASCO,,
SA-7000-13,85,Infasco,,
SAA64MGA,5000,R&R rivet,,
SE1792,5000,Pencom,,
SH00250.414,4000,R&R Rivet,,
SH00315.389,2000,R&R Rivet,,
SL2404-00,2800,,,
SM110319,5000,SIRIUS,,
SM110337,5000,SIRIUS,,
SORT-2620072,500,Ready rivet,,
SORT-MICHC3056,1500,Ready rivet,,
SP114XO.293,25000,R&R Rivet,,
SP2103-03,4400,Infasco,,
SRT-AA0135-P002,1000,Ready Rivet,,
SRT-CH-104-16,300,Ready Rivet,,
SRT430TFL501A,600,Ready Rivet,,
ST8OID912OD1118,1000,COLLISON-GOLL,,
SZ310C1901,1500,Infasco,,
T0671G0220,800,Trans-Matic,,
T375S02687T,500,R&R Rivet,,
TFAA54264.1859,350,R&R rivet,,
TFAA5426A2319,400,R&R rivet,,
TH M0821200CB,500,Ultra form,,
TOM 0034,1000,TOM,,
TOM 1719,1200,TOM,,
TOM 1920110002,2000,TOM,,
TOM 236,2000,Turn-0-Martic,,
TOM 2692-004,2000,TOM,,
TOM 85531,2000,Turn-0-Martic,,
TOM FL514,2500,Turn-0-Martic,,
TOM FL515,500,TOM,,
TOM0104,1500,Turn-0-Martic,,
TOM0120,1500,Turn-0-Martic,,
TOM681,1800,tom,,
TOYO1053DA-010ASY,180,Commecial Spring,,
TOYO1064DA-010ASY,110,commercial spring,,
TS.10112FSASS,5000,Accurate Fasteners,,
UB 02520112075WZ,1000,Accurate Fasteners,,
V-3/8-24X.312,250,Algood Caster,,
W10610,2500,Focus Machine,,
W20-1028-010,1450,,,
W20-1028-010NA,1450,INFASCO,,
W20-1028-012,940,INFASCO,,
W20-1028-012NA,940,INFASCO,,
W20-1028-016,430,INFASCO,,
W20-1028-016LT,430,INFASCO,,
W20-1028-016NA,430,INFASCO,,
W20-1028-020,215,INFASCO,,
W20-1028-020SL,215,INFASCO,,
W520101-S437,3000,INFASCO,,
W520101-S440,3000,INFASCO,,
W520101-S442,3000,INFASCO,,
W520101-S450,3000,INFASCO,,
W520101-S450B,3000,INFASCO,,
W520111-S440,3500,INFASCO,,
W520111-S450B,3500,INFASCO,,
W520112-S440,1700,Infasco,,
W520113-S424,1050,INFASCO,,
W520113-S440,1050,INFASCO,,
W520113-S441,1050,INFASCO,,
W520203-S440,960,INFASCO,,
W520217-S440,135,Infasco,,
W520217-S900,135,INFASCO,,
W520217-S990,135,INFASCO,,
W520412-S442,3800,INFASCO,,
W520413-S450,1900,,,
W520413-S450B,1900,INFASCO,,
W520413-S450L,1900,INFASCO,,
W520414-S440,1120,INFASCO,,
W520511-S450B,6400,Infasco,,
W520514-S442,1125,Infasco,,
W520773-S300,575,Infasco,,
W520773-S330,575,INFASCO,,
W701582-S437,1850,INFASCO,,
W705606-S440,580,INFASCO,,
W708904-S442,1600,Infasco,,
W708991-S439,6000,National engineered fasteners,,
W711169S440,850,Infasco,,
W711468-S437,1600,INFASCO,,
W711953-S900,1750,INFASCO,,
W715851-S450,1900,Infasco,,
W715851-S450B,1900,Infasco,,
W716298-S450,3500,INFASCO,,
W716298-S450-ST8,3500,INFASCO,,
W717781-S900,120,INFASCO,,
W718057-S442,1000,Infasco,,
W719080-S450,1050,Infasco,,
W719080-S450B,1050,Infasco,,
W720003-S437,1050,Infasco,,
W720003-S442,1050,Infasco,,
W720123-S440,700,Infasco,,
W721876-S900,2100,INFASCO,,
W722565-S900,1500,INFASCO,,
WC-2682,20000,PENN Engineered Fasteners Corp.,,
WC1563,1000,PENN Engineered Fasteners Corp.,,
WC2091,1000,MoldCo Inc.,,
WC2434,8000,PENN Engineered Fasteners Corp.,,
WC2448,8000,PENN Engineered Fasteners Corp.,,
WC2483,1000,PENN Engineered Fasteners Corp.,,
WC2613,2000,PENN Engineered Fasteners Corp.,,
WC2643,8000,Penn Engineering,,
WHF85814152B,10000,PENN Engineered Fasteners Corp.,,
WOC10002,3000,PENN Engineered Fasteners Corp.,,
WOC10091,3500,PENN Engineered Fasteners Corp.,,
WOC10140,1800,PENN Engineered Fasteners Corp.,,
WOC10266,3000,PENN Engineered Fasteners Corp.,,
WOC10466,13700,PENN Engineered Fasteners Corp.,,
WOC10517,5000,PENN Engineered Fasteners Corp.,,
WS .08100PQ17DT2,7000,Accurate Fasteners,,
X6389-1,200,CMI,,
X6504,100,CMI,,
X6656,500,CMI,,
X6665,200,CMI,,
X6688-1,5000,CMI,,
X6689,500,CMI,,
ZD8001-1003612,1500,Ready Rivet,,
ZD8001-1003613,1500,Ready Rivet,,
ZDDA23534432,2500,Infasco,,
ZF1700-P6540050,1200,Ready rivet,,
ZF1700-P6544050,2500,Ready rivet,,
ZF1700-P6545050,650,Ready rivet,,
ZRASC0503114808,2000,Infasco,,
ZSORT-2420004,1500,Ready Rivet,,
ZSORT-262007100,900,Ready Rivet,,
ZSORT-2620092,2000,Ready Rivet,,
ZSORT-3020388,325,Ready rivet,,
ZSORT-CH-104-21,400,Ready Rivet,,
ZT430-T00CK073B,10000,Ready rivet,,
ZT430-T00CK074B,10000,Ready rivet,,
ZT430T002FL501,600,Ready rivet,,
ZT430T4U3FL502A,1000,Ready rivet,,
