po,partNo,traveler,pot,description,box,quantity,invDate,ps,notes
190921,11612078-B,707323,1037,"4 MC 74 S/P CERT, VCI BAGS",36,66600,2026-08-03 18:00:00,29932,
191398,11549168-CA-IN,710686,158,272 MC 26 S/P,56,56000,2026-08-03 18:00:00,29932,
192696,11546377,714321,722,280 BF 118 S/P,36,77400,2026-08-03 18:00:00,29932,
192696,11546364-MY-AK,714490,176,280 BF 124 S/P,36,126000,2026-08-03 18:00:00,29932,
192696,11546377,714319,864,275 BF 103 S/P,18,38700,2026-08-03 18:00:00,29932,
192696,11546377,714315,1578,275 BF 103 S/P,18,38700,2026-08-03 18:00:00,29932,
192701,W520111-S440,714082,101,275 BF 104 S/P,35,122500,2026-08-03 18:00:00,29932,
192701,W520113-S441,713540,1031,156 BF 116 S/P,36,37800,2026-08-03 18:00:00,29932,
192708,HL3W-4320-AA,713050,377,285+391 TBL 2 S/P IN RETURNABLES,31,6200,2026-08-03 18:00:00,29932,
192737,11546367-MY-AK,714116,814,290 BF 109 S/P,36,25200,2026-08-03 18:00:00,29932,
192737,11546367-MY-AK,714112,117,156 BF 117 S/P,36,25200,2026-08-03 18:00:00,29932,
192745,W711468-S437,712574,526,275 BF 108 S/P,36,57600,2026-08-03 18:00:00,29932,
192761,M1482AC,714417,KIB,11+292 TBL 5 S/P BOLTS,21,4200,2026-08-03 18:00:00,29932,
192761,M1482AC,714414,KIB,157+279 TBL 2 S/P BOLTS,15,3000,2026-08-03 18:00:00,29932,
192761,06101831-A,714508,1426,290 BF 110 S/P,36,36000,2026-08-03 18:00:00,29932,
192796,06509967AA,713926,KIB,245+279 TBL 6 S/P BOLTS,33,27225,2026-08-03 18:00:00,29932,
192796,06509967AA,713928,KIB,252+294 TBL 4 S/P BOLTS,30,24750,2026-08-03 18:00:00,29932,
192796,06509967AA,713927,KIB,285+391 TBL 2 S/P,23,18975,2026-08-03 18:00:00,29932,
192796,06513555AA,714164,100,285+391 TBL 2 S/P BOLTS,30,13200,2026-08-03 18:00:00,29932,
192796,06509967AA,713929,KIB,190+268 TBL 3 S/P BOLTS,19,15675,2026-08-03 18:00:00,29932,
192796,06513555AA,714165,326,245+279 TBL 6 S/P BOLTS,19,8360,2026-08-03 18:00:00,29932,
192804,F1302AB,712964,164,190+268 TBL 3 S/P BOLTS,36,25200,2026-08-03 18:00:00,29932,
192804,F1302AB,712966,868,157+293 TBL 1 S/P BOLTS,30,21000,2026-08-03 18:00:00,29932,
192629,11549168-CA-IN,711865,318,272 MC 26 S/P CERT,36,36000,2026-08-03 18:00:00,29934,
192681,91054,711591,981,285+391 TBL 2 S/P CERT,35,59500,2026-08-03 18:00:00,29934,
192696,11546377,714314,288,280 BF 118 S/P,16,34400,2026-08-04 18:00:00,29934,
192696,11546364-MY-AK,714492,341,275 BF 102 S/P,31,108500,2026-08-03 18:00:00,29934,
192708,HL3W-4320-AA,713046,523,285+391 TBL 2 S/P IN RETURNABLES,30,6000,2026-08-03 18:00:00,29934,
192737,11546367-MY-AK,714117,759,4+156 BF 117 S/P,38,26600,2026-08-04 18:00:00,29934,
192737,11546367-MY-AK,714107,465,290 BF 109 S/P,34,23800,2026-08-03 18:00:00,29934,
192737,11546367-MY-AK,714110,1566,156 BF 117 S/P,36,25200,2026-08-03 18:00:00,29934,
192737,11546367-MY-AK,714115,938,290 MC 78 S/P,36,25200,2026-08-03 18:00:00,29934,
192745,E6267AB,709995,1PC,285+391 TBL 2 S/P IN PINK CONTAINERS,1,20000,2026-08-04 18:00:00,29934,
192761,06509967AA,714412,KIB,290 BF 105 S/P BOLTS,25,20625,2026-08-04 18:00:00,29934,
192796,06105048AA,714406,KIB,190+268 TBL 3 S/P BOLTS,23,18400,2026-08-03 18:00:00,29934,
192796,06105048AA,714407,KIB,157+293 TBL 1 S/P BOLTS,26,20800,2026-08-03 18:00:00,29934,
191126,11549168-CA-IN,708738,62,272 MC 26 S/P CERT,36,36000,2026-08-04 18:00:00,29936,
191305,06101736-A,713386,1696,11+292 TBL 3 S/P CERT,37,118400,2026-08-04 18:00:00,29936,
192681,91054,711580,799,245+279 TBL 6 S/P CERT,37,62900,2026-08-04 18:00:00,29936,
192737,11546378-MY-AK,714029,1656,156 MC 19 S/P,35,43750,2026-08-04 18:00:00,29936,
192737,11546377BR,714502,427,4+156 BF 113 S/P,30,60000,2026-08-04 18:00:00,29936,
192737,06101831-A,714514,1311,290 BF 121 S/P,43,43000,2026-08-04 18:00:00,29936,
192737,11546367-MY-AK,714106,167,290 MC 78 S/P,36,25200,2026-08-04 18:00:00,29936,
192745,W711468-S437,712570,459,275 BF 108 S/P,15,24000,2026-08-03 18:00:00,29936,
192761,06101831-A,714509,545,290 BF 110 S/P,39,39000,2026-08-04 18:00:00,29936,
192761,06101831-A,714512,1102,290 BF 110 S/P,47,47000,2026-08-04 18:00:00,29936,
192761,11546437-MY-AK,714147,71,280 BF 123 S/P,58,87000,2026-08-04 18:00:00,29936,
191398,11516078-CA-IN,707148,1367,285+391 TBL 2 S/P CERT,35,24500,2026-08-05 18:00:00,29939,
192696,11546377,714313,394,275 BF 103 S/P,44,94600,2026-08-04 18:00:00,29939,
192737,11546378-MY-AK,714028,875,4+156 MC 19 S/P,36,45000,2026-08-03 18:00:00,29939,
192737,11546367-MY-AK,714114,186,156 BF 117 S/P,36,25200,2026-08-03 18:00:00,29939,
192761,06509967AA,714413,KIB,290 BF 105 S/P BOLTS,23,18975,2026-08-04 18:00:00,29939,
192761,11546437-MY-AK,714144,1446,280 BF 123 S/P,50,75000,2026-08-03 18:00:00,29939,
192761,06104388AA,714338,1603,252+294 TBL 4 S/P BOLTS,39,25740,2026-08-03 18:00:00,29939,
192796,11546366-MY-AK,714023,92,280 BF 120 S/P,36,36000,2026-08-04 18:00:00,29939,
192796,06509967AA,713925,KIB,11+292 TBL 5 S/P BOLTS,18,14850,2026-08-03 18:00:00,29939,
192796,06509967AA,713924,KIB,11+292 TBL 1 S/P BOLTS,20,16500,2026-08-03 18:00:00,29939,
192796,06105102AA,714404,KIB,285+391 TBL 2 S/P BOLTS,31,20770,2026-08-03 18:00:00,29939,
192796,06105102AA,714405,KIB,157+293 TBL 1 S/P BOLTS,28,18760,2026-08-03 18:00:00,29939,
192796,06104388AA,714346,1432,245+279 TBL 6 S/P BOLTS,28,18480,2026-08-03 18:00:00,29939,
192796,06104388AA,714344,1720,190+268 TBL 3 S/P BOLTS,33,21780,2026-08-03 18:00:00,29939,
192831,11546367-MY-AK,714543,1632,290 BF 110 S/P,36,25200,2026-08-05 18:00:00,29939,
192831,11546367-MY-AK,714550,1682,290 MC 78 S/P,36,25200,2026-08-04 18:00:00,29939,
192831,11546367-MY-AK,714548,1808,4 BF 117 S/P,36,25200,2026-08-04 18:00:00,29939,
192831,11549204,714271,833,285+391 TBL 2 S/P,19,3990,2026-08-04 18:00:00,29939,
190921,11612078-B,706812,640,"4 MC 74 S/P CERT, VCI BAGS",36,66600,2026-08-05 18:00:00,29941,
191012,11516078-CA-IN,707150,310,11+293 TBL 5 S/P CERT,35,24500,2026-08-05 18:00:00,29941,
191288,06101736-A,713088,1655,240 TBL 9 S/P CERT,38,121600,2026-08-05 18:00:00,29941,
192613,11549168-CA-IN,705485,1057,157+245 TBL 1 S/P CERT,63,63000,2026-08-05 18:00:00,29941,
192613,11549168-CA-IN,708737,1301,272 MC 26 S/P CERT,46,46000,2026-08-05 18:00:00,29941,
192613,11549168-CA-IN,708641,637,252+294 TBL 4 S/P CERT,26,26000,2026-08-05 18:00:00,29941,
192761,11546437-MY-AK,714141,635,275 BF 102 S/P,47,70500,2026-08-05 18:00:00,29941,
192761,06101831-A,714506,1776,292+156+4 MC 110 S/P,50,50000,2026-08-05 18:00:00,29941,
192761,11546389BR,715611,574,275 MC 112 S/P,21,81900,2026-08-05 18:00:00,29941,
192761,11546437-MY-AK,714146,257,290+280 BF 106 S/P,59,88500,2026-08-05 18:00:00,29941,
192761,11546437-MY-AK,714140,1762,290+280 BF 114 S/P,60,90000,2026-08-05 18:00:00,29941,
192761,11546437-MY-AK,714148,1786,280 BF 114 S/P,51,76500,2026-08-04 18:00:00,29941,
192761,11546437-MY-AK,714149,738,280 BF 114 S/P,57,85500,2026-08-04 18:00:00,29941,
192796,06104388AA,714348,740,275 MC 04 S/P BOLTS,36,23760,2026-08-05 18:00:00,29941,
192796,11546366-MY-AK,714024,554,280 BF 124 S/P,36,36000,2026-08-05 18:00:00,29941,
192796,06104388AA,714349,499,157+293 TBL 1 S/P BOLTS,17,11220,2026-08-04 18:00:00,29941,
192831,11546367-MY-AK,714546,95,290 MC 78 S/P,36,25200,2026-08-05 18:00:00,29941,
192831,11546367-MY-AK,714551,941,292 BF 117 S/P,36,25200,2026-08-05 18:00:00,29941,
192831,11546367-MY-AK,714547,1343,290 BF 110 S/P,36,25200,2026-08-05 18:00:00,29941,
192831,11546367-MY-AK,714557,1525,292 BF 117 S/P,36,25200,2026-08-05 18:00:00,29941,
192831,11546367-MY-AK,714552,181,280 BF 121 S/P,36,25200,2026-08-05 18:00:00,29941,
192845,11549204,714661,657,252+294 TBL 4 S/P,36,7560,2026-08-05 18:00:00,29941,
192845,11549204,714664,543,190+268 TBL 3 S/P,40,8400,2026-08-05 18:00:00,29941,
192852,BL3W-4320-BA,712800,829,11+293 TBL 5 S/P,19,4180,2026-08-05 18:00:00,29941,
192852,BL3W-4320-BA,712798,1069,11+293 TBL 5 S/P,27,5940,2026-08-05 18:00:00,29941,
192852,BL3W-4320-BA,712799,1004,11+293 TBL 5 S/P,27,5940,2026-08-05 18:00:00,29941,
192888,E6267AB,713553,514,285+391 TBL 2 S/P IN PINK CONTAINER,1,20000,2026-08-06 18:00:00,29943,
192613,11549168-CA-IN,710399,597,272 MC 26 S/P CERT,41,41000,2026-08-06 18:00:00,29946,
192629,06101831-A,713957,1522,280 BF 121 S/P,42,42000,2026-08-03 18:00:00,29946,
192737,06101831-A,714515,713,292 MC 110 S/P,37,37000,2026-08-06 18:00:00,29946,
192737,11546377BR,714503,913,4+156 BF 113 S/P,36,72000,2026-08-03 18:00:00,29946,
192761,11546389BR,715610,1768,275 MC 112 S/P,31,120900,2026-08-06 18:00:00,29946,
192761,06101831-A,714511,1710,4 MC 110 S/P,36,36000,2026-08-03 18:00:00,29946,
192796,06104388AA,714345,936,275 MC 04 S/P BOLTS,36,23760,2026-08-06 18:00:00,29946,
192831,11546456,713895,1369,280 BF 114 S/P,36,97200,2026-08-06 18:00:00,29946,
192831,11546456,713894,946,290 BF 106 S/P,33,89100,2026-08-05 18:00:00,29946,
192831,11546456,715616,795,4+292 MC 24 S/P,36,97200,2026-08-05 18:00:00,29946,
192845,11549204,714663,34,11+293 TBL 5 S/P,26,5460,2026-08-05 18:00:00,29946,
192845,11549204,714659,231,285+391 TBL 2 S/P,43,9030,2026-08-05 18:00:00,29946,
192845,40161567,715830,590,285+391 TBL 2 S/P,26,4550,2026-08-05 18:00:00,29946,
192887,06512834AA,714561,1619,285+391 TBL 2 S/P,36,10440,2026-08-06 18:00:00,29946,
192887,06514720AA,714587,1388,11+293 TBL 5 S/P BOLTS,30,37500,2026-08-06 18:00:00,29946,
192887,06514720AA,714014,1594,157+245 TBL 1 S/P BOLTS,36,45000,2026-08-06 18:00:00,29946,
192887,92468,714430,238,11+293 TBL 5 S/P BOLTS,24,24000,2026-08-06 18:00:00,29946,
192887,11561645-MY-AK,707097,727,280 BF 123 S/P,3,12000,2026-08-06 18:00:00,29946,
192887,11546566,714437,832,279 TBL 6 S/P BOLTS,27,48600,2026-08-06 18:00:00,29946,
192887,PZ18-7P483-AA,716404,1083,RETURN TO INFASCO NUT,,0,2026-08-06 18:00:00,29946,
192887,PZ18-7P483-AA,716412,799,RETURN TO INFASCO NUT,,0,2026-08-06 18:00:00,29946,
192887,06502979-A,713989,496,RETURN TO INFASCO NUT,,0,2026-08-06 18:00:00,29946,
190921,11612078-B,708875,70,"4 MC 74 S/P CERT, VCI BAGS",36,66600,2026-08-06 18:00:00,29948,
192761,11546437-MY-AK,714145,1611,275 BF 104 S/P,63,94500,2026-08-06 18:00:00,29948,
192796,11546366-MY-AK,714025,705,280 BF 120 S/P,55,55000,2026-08-06 18:00:00,29948,
192796,11546366-MY-AK,714022,213,280 BF 124 S/P,44,44000,2026-08-06 18:00:00,29948,
192831,11546456,715614,693,275+280 BF 103 S/P,17,45900,2026-08-06 18:00:00,29948,
192831,11546456,715617,971,275+280 BF 123 S/P,35,94500,2026-08-06 18:00:00,29948,
192831,11546367-MY-AK,714542,821,292 BF 117 S/P,32,22400,2026-08-06 18:00:00,29948,
192831,11546456,713896,1060,280 BF 114 S/P,9,24300,2026-08-05 18:00:00,29948,
192831,11546456,715621,1795,280 BF 114 S/P,27,72900,2026-08-05 18:00:00,29948,
192831,11546456,713897,845,275 BF 102 S/P,36,97200,2026-08-05 18:00:00,29948,
192831,11546456,715619,90,275 BF 103 S/P,36,97200,2026-08-05 18:00:00,29948,
192845,11549204,714658,1355,11+293 TBL 5 S/P,36,7560,2026-08-05 18:00:00,29948,
192845,40161567,715831,1649,252+294 TBL 4 S/P,31,5425,2026-08-05 18:00:00,29948,
192887,W716298-S450,714424,1784,275 MC 112 S/P,36,126000,2026-08-06 18:00:00,29948,
192887,11561645,714429,335,290 BF 106 S/P,29,116000,2026-08-06 18:00:00,29948,
192887,92468,714431,314,285+391 TBL 2 S/P BOLTS,25,25000,2026-08-06 18:00:00,29948,
192887,11546566,714435,1333,157+245 TBL 1 S/P BOLTS,24,43200,2026-08-06 18:00:00,29948,
192887,06514720AA,714015,1562,252+294 TBL 4 S/P BOLTS,25,31250,2026-08-06 18:00:00,29948,
192887,06101447-A,713982,246,285+391 TBL 2 S/P TUMBLE,34,102000,2026-08-06 18:00:00,29948,
192887,06514720AA,714584,1698,157+245 TBL 1 S/P BOLTS,27,33750,2026-08-06 18:00:00,29948,
192887,06514720AA,714585,1398,11+293 TBL 5 S/P BOLTS,37,46250,2026-08-06 18:00:00,29948,
192887,06514720AA,714583,332,252+294 TBL 4 S/P BOLTS,36,45000,2026-08-06 18:00:00,29948,
192887,06512834AA,713985,1433,391+285 TBL 2 S/P,8,2320,2026-08-06 18:00:00,29948,
192887,06101447-A,713983,961,294+252 TBL 4 S/P TUMBLE,32,96000,2026-08-06 18:00:00,29948,
192887,55364498AA,714003,651,157+245 TBL 1 S/P BOLTS,47,24440,2026-08-06 18:00:00,29948,
192887,06512834AA,714560,404,11+293 TBL 5 S/P,30,8700,2026-08-06 18:00:00,29948,
192887,06512834AA,713984,255,11+293 TBL 5 S/P,36,10440,2026-08-06 18:00:00,29948,
192887,06511672AA,711771,239,252+294 TBL 4 S/P,38,53200,2026-08-06 18:00:00,29948,
192899,06513734AA,716200,581,157+268+245 TBL 1 S/P,31,89900,2026-08-06 18:00:00,29948,
192708,NU5108-00,713727,604,156 MC 24 S/P,1,67861,2026-08-04 18:00:00,29949,
192745,NU5108-00,714133,305,272 MC 26 S/P CERT,1,65000,2026-08-06 18:00:00,29949,
192745,NU1510-00,714471,1373,275 BF 112 S/P,1,46500,2026-08-04 18:00:00,29949,
192745,NU1510-00,714469,798,275 BF 112 S/P,1,38000,2026-08-03 18:00:00,29949,
192745,NU5108-00,714132,490,272 MC 26 S/P CERT,1,63280,2026-08-07 18:00:00,29949,
192845,W20-1028-020SL,715749,1806,285+391 TBL 2 S/P,36,7740,2026-08-05 18:00:00,29949,
192845,W20-1028-020SL,715750,174,11+293 TBL 5 S/P,39,8385,2026-08-05 18:00:00,29949,
192845,W20-1028-020SL,715751,889,190+268 TBL 3 S/P,52,11180,2026-08-05 18:00:00,29949,
192845,W20-1028-020SL,715746,365,190+268 TBL 2 S/P,44,9460,2026-08-05 18:00:00,29949,
192845,W20-1028-020SL,715748,485,190+268 TBL 3 S/P,20,4300,2026-08-05 18:00:00,29949,
192845,W20-1028-020SL,715747,1524,190+268 TBL 3 S/P,16,3440,2026-08-05 18:00:00,29949,
192852,NU5210-03,715834,526,190+268 TBL 3 S/P,1,40000,2026-08-05 18:00:00,29949,
192852,NU3034-02,716258,KIB,190+268 TBL 3 S/P,1,40400,2026-08-05 18:00:00,29949,
192852,NU3019-00,714248,1379,190+268 TBL 3 S/P,1,4980,2026-08-05 18:00:00,29949,
192852,NU3019-00,714249,1541,252+294 TBL 4 S/P,1,4570,2026-08-05 18:00:00,29949,
192852,NU3019-00,714244,1512,285+391 TBL 2 S/P,1,6634,2026-08-05 18:00:00,29949,
192852,NU3019-00,714245,200,294+252 TBL 4 S/P,1,4270,2026-08-05 18:00:00,29949,
192852,NU3019-00,714247,1029,190+268 TBL 3 S/P,1,4700,2026-08-05 18:00:00,29949,
192852,NU3019-00,714246,1025,285+391 TBL 2 S/P,1,4700,2026-08-05 18:00:00,29949,
192852,11612078-B,712880,751,390 TBL 7 S/P BTB-->POT#1359,1,72000,2026-08-07 18:00:00,29949,
192852,11612078-B,714061,28,390 TBL 7 S/P BTB-->POT#751,1,76000,2026-08-07 18:00:00,29949,
192887,NU5210-03,715835,523,290 BF 107 S/P,1,39000,2026-08-06 18:00:00,29949,
192887,11612078-B,714057,1448,390 TBL 7 S/P BTB-->POT#723,1,70000,2026-08-07 18:00:00,29949,
192899,NU1510-00,715665,953,157+245 TBL 1 S/P,1,36230,2026-08-06 18:00:00,29949,
192899,NU1510-00,715666,73,285+391 TBL 2 S/P,1,35000,2026-08-06 18:00:00,29949,
192899,NU1510-00,715712,1449,190+268 TBL 3 S/P,1,42900,2026-08-06 18:00:00,29949,
192899,NU1510-00,715715,1804,11+293 TBL 5 S/P,1,43735,2026-08-03 18:00:00,29949,
192899,11612078,712883,1359,390 TBL 7 S/P BTB-->POT#1448,1,70000,2026-08-07 18:00:00,29949,
192899,NU1510-00,714466,1381,285+391 TBL 2 S/P,1,51361,2026-08-07 18:00:00,29949,
192899,NU1510-00,715714,1592,157+293 TBL 1 S/P,1,42000,2026-08-07 18:00:00,29949,
192899,NU1510-00,715838,49,11+245 TBL 1 S/P,1,34800,2026-08-07 18:00:00,29949,
192899,11602292,715795,1710,285+391 TBL 2 S/P BOLTS,25,25000,2026-08-07 18:00:00,29952,
192899,11602292,715794,513,252+294 TBL 4 S/P BOLTS,28,28000,2026-08-07 18:00:00,29952,
191611,11549168-IN-BA,705253,1557,292 MC 112 S/P,37,37000,2026-08-07 18:00:00,29954,
192613,11549168-CA-IN,705484,491,252+294 TBL 4 S/P CERT,36,36000,2026-08-07 18:00:00,29954,
192796,06104388AA,714347,603,245 MC 04 S/P BOLTS,24,15840,2026-08-07 18:00:00,29954,
192831,11546456,715617,971,280 BF 123 S/P,16,43200,2026-08-05 18:00:00,29954,
192831,11546456,715620,677,280 BF 123 S/P,20,54000,2026-08-05 18:00:00,29954,
192845,11549204,714654,105,252+294 TBL 4 S/P,22,4620,2026-08-05 18:00:00,29954,
192845,11549204,714660,532,11+293 TBL 5 S/P,61,12810,2026-08-05 18:00:00,29954,
192845,11549204,714665,895,252+294 TBL 4 S/P,36,7560,2026-08-05 18:00:00,29954,
192845,11549204,714655,419,285+391 TBL 2 S/P,36,7560,2026-08-05 18:00:00,29954,
192845,11549204,714662,945,11+293 TBL 5 S/P,36,7560,2026-08-05 18:00:00,29954,
192852,W520203-S440,716082,KIB,252+294 TBL 4 S/P,21,20160,2026-08-05 18:00:00,29954,
192852,W520203-S440,716083,KIB,285+391 TBL 2 S/P,41,39360,2026-08-05 18:00:00,29954,
192887,11561645,714588,1807,292 BF 113 S/P,36,144000,2026-08-07 18:00:00,29954,
192887,11610091-CA-IN,703943,1503,279 TBL 6 S/P CERT,34,85000,2026-08-07 18:00:00,29954,
192887,06511637AA,714426,1708,292 BF 116 S/P,36,43200,2026-08-07 18:00:00,29954,
192888,11546545,716189,499,280 BF 123 S/P,36,90000,2026-08-07 18:00:00,29954,
192888,11546545,716190,117,280 BF 114 S/P,36,90000,2026-08-07 18:00:00,29954,
192888,06101831-A,715862,1540,190+268 TBL 3 S/P,8,8000,2026-08-06 18:00:00,29954,
192899,11546703,712581,161,279 TBL 6 S/P SCREWS,30,120000,2026-08-07 18:00:00,29954,
192899,11546774,713587,1360,292 BF 117 S/P,36,16200,2026-08-07 18:00:00,29954,
192899,11546774,713583,469,290 BF 109 S/P,36,16200,2026-08-07 18:00:00,29954,
192899,11611122,713559,970,11+293 TBL 5 S/P BOLTS,40,74000,2026-08-07 18:00:00,29954,
192908,11516074,714303,1534,275 BF 108 S/P,36,25200,2026-08-07 18:00:00,29954,
192933,61273,715674,896,285+391 TBL 2 S/P BOLTS,26,7800,2026-08-07 18:00:00,29954,
192933,06508711AA,714000,496,190+268 TBL 3 S/P BOLTS,36,20700,2026-08-07 18:00:00,29954,
192933,11548535,712840,757,285+391 TBL 2 S/P,36,5400,2026-08-05 18:00:00,29954,
191457,11546456,713383,451,275 BF 103 S/P,36,97200,2026-08-07 18:00:00,29956,
192629,11549168-CA-IN,711869,1001,252+294 TBL 4 S/P CERT,41,41000,2026-08-07 18:00:00,29956,
192761,11546437-MY-AK,714150,711,275 BF 104 S/P,58,87000,2026-08-06 18:00:00,29956,
192831,11546456,715615,187,292 MC 24 S/P,21,56700,2026-08-07 18:00:00,29956,
192831,11549204,714270,442,252+294 TBL 4 S/P,33,6930,2026-08-06 18:00:00,29956,
192887,06514720AA,714582,81,157+245 TBL 1 S/P BOLTS,32,40000,2026-08-06 18:00:00,29956,
192887,06514720AA,714586,1108,190+268 TBL 3 S/P BOLTS,30,37500,2026-08-06 18:00:00,29956,
192888,11546545,716188,678,275 BF 103 S/P,36,90000,2026-08-07 18:00:00,29956,
192888,11546545,716193,1371,275 BF 102 S/P,36,90000,2026-08-07 18:00:00,29956,
192888,11546545,716192,222,290 BF 106 S/P,36,90000,2026-08-07 18:00:00,29956,
192888,11546545,714671,848,275 BF 104 S/P,36,90000,2026-08-07 18:00:00,29956,
192888,11546377,715734,1738,280 BF 118 S/P,36,77400,2026-08-07 18:00:00,29956,
192888,06101831-A,715861,1093,11+293 TBL 5 S/P,4,4000,2026-08-06 18:00:00,29956,
192888,06101831-A,715863,1575,11+293 TBL 5 S/P,27,27000,2026-08-06 18:00:00,29956,
192899,11546774,713589,27,292 BF 117 S/P,36,16200,2026-08-07 18:00:00,29956,
192899,11546774,713585,1076,290 BF 109 S/P,36,16200,2026-08-07 18:00:00,29956,
192899,06502979-A,713986,342,275 BF 112 S/P,36,27000,2026-08-07 18:00:00,29956,
192908,11516074,714302,811,275 BF 108 S/P,19,13300,2026-08-07 18:00:00,29956,
192933,06503825-A,714565,763,157+245 TBL 1 S/P TUMBLE,36,54000,2026-08-07 18:00:00,29956,
192933,06503825-A,713990,680,285+391 TBL 2 S/P TUMBLE,36,54000,2026-08-07 18:00:00,29956,
192933,11610376,714200,1718,11+293 TBL 5 S/P CERT,40,36000,2026-08-07 18:00:00,29956,
192933,11610376,714280,99,157+245 TBL 1 S/P CERT,8,7200,2026-08-07 18:00:00,29956,
192933,11610376,714203,1760,190+268 TBL 3 S/P CERT,25,22500,2026-08-07 18:00:00,29956,
192933,06509494AA,714558,1106,285+391 TBL 2 S/P BOLTS,37,27750,2026-08-07 18:00:00,29956,
192933,06503825-A,714567,1580,157+245 TBL 1 S/P TUMBLE,36,54000,2026-08-07 18:00:00,29956,
192933,06105051AA,714010,84,279 TBL 6 S/P BOLTS,23,14260,2026-08-07 18:00:00,29956,
192933,06503825-A,714566,901,285+391 TBL 2 S/P TUMBLE,21,31500,2026-08-07 18:00:00,29956,
192933,61273,715675,418,157+245 TBL 1 S/P BOLTS,23,6900,2026-08-07 18:00:00,29956,
192933,11548535,712839,610,157+245 TBL 1 S/P,36,5400,2026-08-07 18:00:00,29956,
192761,11546389,715608,769,280 BF 124 S/P,29,130500,2026-08-10 18:00:00,29957,
192761,11546389,715609,1801,275 MC 112 S/P,22,99000,2026-08-10 18:00:00,29957,
192831,11588714,715677,KIB,252+294 TBL 4 S/P BOLTS,25,35000,2026-08-10 18:00:00,29957,
192831,11588714,715679,KIB,285+391 TBL 2 S/P BOLTS,36,50400,2026-08-10 18:00:00,29957,
192629,11549168-CA-IN,710688,516,190+268 TBL 3 S/P CERT,43,43000,2026-08-06 18:00:00,29961,
192761,11546440,714504,834,290 BF 107 S/P,36,55800,2026-08-04 18:00:00,29961,
192761,11546440,714505,148,290 BF 107 S/P,36,55800,2026-08-04 18:00:00,29961,
192888,06101831-A,715859,1791,290 BF 107 S/P,34,34000,2026-08-06 18:00:00,29961,
192899,11548535,713506,856,252+294 TBL 4 S/P,36,5400,2026-08-10 18:00:00,29961,
192899,11546703,712585,159,190+268 TBL 3 S/P SCREWS,26,104000,2026-08-10 18:00:00,29961,
192899,11546774,713590,290,292 BF 117 S/P,16,7200,2026-08-07 18:00:00,29961,
192899,11546774,713591,351,290 BF 109 S/P,36,16200,2026-08-07 18:00:00,29961,
192899,11611121,713557,948,285+391 TBL 2 S/P BOLTS,29,26100,2026-08-06 18:00:00,29961,
192899,11548535,713509,1783,11+293 TBL 5 S/P,37,5550,2026-08-10 18:00:00,29961,
192908,06104725AA,715710,561,275 MC 112 S/P,36,100800,2026-08-07 18:00:00,29961,
192908,11548147,714399,KIB,157+245 TBL 1 S/P BOLTS,25,6250,2026-08-07 18:00:00,29961,
192908,06104725AA,715702,1639,11+293 TBL 5 S/P,40,112000,2026-08-06 18:00:00,29961,
192908,11548147,714397,KIB,157+245 TBL 1 S/P BOLTS,36,9000,2026-08-06 18:00:00,29961,
192908,11548147,714396,KIB,157+245 TBL 1 S/P BOLTS,9,2250,2026-08-06 18:00:00,29961,
192933,06512349AA,714570,210,252+294 TBL 4 S/P BOLTS,21,8400,2026-08-10 18:00:00,29961,
192933,06502979-A,713989,675,292 MC 110 S/P,36,27000,2026-08-10 18:00:00,29961,
192933,55364498AA,714573,1053,245+279 TBL 1 S/P BOLTS,23,11960,2026-08-10 18:00:00,29961,
192933,11610376,714202,813,190+268 TBL 3 S/P CERT,26,23400,2026-08-07 18:00:00,29961,
192933,06503825-A,713994,565,252+294 TBL 4 S/P TUMBLE,36,54000,2026-08-07 18:00:00,29961,
192933,55364498AA,714572,170,252+294 TBL 4 S/P BOLTS,24,12480,2026-08-07 18:00:00,29961,
192933,06502979-A,714562,289,275 BF 112 S/P,17,12750,2026-08-10 18:00:00,29961,
192954,F1302AB,714074,932,11+293 TBL 5 S/P BOLTS,38,26600,2026-08-10 18:00:00,29961,
192954,06514720AA,714012,436,190+268 TBL 3 S/P BOLTS,28,35000,2026-08-10 18:00:00,29961,
192954,F1302AB,714009,1618,285+391 TBL 2 S/P BOLTS,34,23800,2026-08-10 18:00:00,29961,
190796,91058,710241,592,RETURN BIN FOR RE-WORK,,0,2026-08-10 18:00:00,29964,
192831,15047163,714214,3,252+294 TBL 4 S/P,33,66000,2026-08-04 18:00:00,29964,
192831,15047163,714217,748,190+268 TBL 3 S/P,29,58000,2026-08-04 18:00:00,29964,
192887,11561645,714589,1787,292 BF 113 S/P,26,104000,2026-08-10 18:00:00,29964,
192887,06511637AA,714427,587,292 BF 116 S/P,34,40800,2026-08-07 18:00:00,29964,
192888,11546545,714670,1559,290 BF 106 S/P,36,90000,2026-08-10 18:00:00,29964,
192888,11546377,715736,109,280 BF 118 S/P,36,77400,2026-08-10 18:00:00,29964,
192888,11546377,715737,271,292 MC 24 S/P,36,77400,2026-08-10 18:00:00,29964,
192888,11546545,714668,1300,275 BF 102 S/P,40,100000,2026-08-10 18:00:00,29964,
192888,11546377,715735,376,280 BF 118 S/P,28,60200,2026-08-07 18:00:00,29964,
192888,11546545,714673,396,280 BF 123 S/P,36,90000,2026-08-06 18:00:00,29964,
