po,partNo,traveler,pot,description,box,quantity,invDate,ps,notes
191582,11546378-MY-AK,713466,1323,,,28750,2026-07-29 18:00:00,29909,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191582,11546378-MY-AK,713468,708,,,42500,2026-07-30 18:00:00,29915,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191530,11546369-MY-AK,713470,231,,,7200,2026-07-25 18:00:00,29893,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191530,11546369-MY-AK,713471,543,,,10800,2026-07-30 18:00:00,29913,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191530,11546369-MY-AK,713472,1681,,,10800,2026-07-25 18:00:00,29893,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
192701,11516133,713474,217,,,15245,2026-08-02 18:00:00,29927,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
192701,11516133,713475,1648,,,15187,2026-08-03 18:00:00,29932,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày lấy từ dòng khác cùng PS
191582,11546365-MY-AK,713476,433,,,60800,2026-08-01 18:00:00,29921,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191582,11546365-MY-AK,713477,688,,,68400,2026-07-27 18:00:00,29900,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191582,11546365-MY-AK,713480,851,,,68400,2026-07-27 18:00:00,29900,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191582,11546365-MY-AK,713481,387,,,68400,2026-07-29 18:00:00,29911,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
192629,11549171-MY-AK,713486,1567,,,560,2026-08-02 18:00:00,29929,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
192629,11549171-MY-AK,713487,212,,,10080,2026-07-29 18:00:00,29909,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
192629,11549171-MY-AK,713488,301,,,8400,2026-07-31 18:00:00,29919,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
192629,11549171-MY-AK,713489,1431,,,10017,2026-08-01 18:00:00,29921,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
192613,11549171-MY-AK,713490,83,,,9713,2026-07-31 18:00:00,29919,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
192613,11549171-MY-AK,713491,663,,,9904,2026-07-31 18:00:00,29919,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
